player_id,full_name,first_name,last_name,position,team,status
4449,Nicholas Morrow,Nicholas,Morrow,LB,,Active
11072,Joshua Pryor,Joshua,Pryor,DL,,Active
6918,Salvon Ahmed,Salvon,Ahmed,RB,CHI,Active
6137,Tommy Sweeney,Tommy,Sweeney,TE,,Active
12784,Jason Ivey,Jason,Ivey,OL,,Active
12602,Mykel Williams,Mykel,Williams,DL,SF,Active
11340,Brad Cecil,Brad,Cecil,OL,,Active
5668,Aaron Stinnie,Aaron,Stinnie,G,NYG,Active
13132,JJ Roberts,JJ,Roberts,DB,TB,Active
3561,Bryce Williams,Bryce,Williams,TE,,Active
832,Ryan Whalen,Ryan,Whalen,WR,,Inactive
12586,Cameron Williams,Cameron,Williams,OL,PHI,Active
6751,Duplicate Player,Duplicate,Player,,,Inactive
3356,Kyle Murphy,Kyle,Murphy,OT,NO,Active
6786,CeeDee Lamb,CeeDee,Lamb,WR,DAL,Active
5038,Michael Gallup,Michael,Gallup,WR,,Active
10938,D.J. Johnson,D.J.,Johnson,LB,WAS,Active
4433,Xavier Coleman,Xavier,Coleman,CB,,Inactive
11584,Bucky Irving,Bucky,Irving,RB,TB,Active
1195,Doug Martin,Doug,Martin,RB,,Inactive
2023,De'Anthony Thomas,De'Anthony,Thomas,WR,,Inactive
1461,Mike Catapano,Mike,Catapano,LB,,Inactive
7116,Kevin Dotson,Kevin,Dotson,OL,LAR,Active
4907,Nick Sirianni,Nick,Sirianni,,,Inactive
11649,Kendall Milton,Kendall,Milton,RB,CIN,Active
6783,Jerry Jeudy,Jerry,Jeudy,WR,CLE,Active
12887,Joshua Gray,Joshua,Gray,OL,,Active
5592,Tejan Koroma,Tejan,Koroma,C,,Active
2481,Max Valles,Max,Valles,LB,,Inactive
221,Brent Celek,Brent,Celek,TE,,Inactive
387,Knowshon Moreno,Knowshon,Moreno,RB,,Inactive
13600,Tyren Montgomery,Tyren,Montgomery,WR,TEN,Active
8432,Player Invalid,Player,Invalid,TE,,Inactive
7232,Rashad Smith,Rashad,Smith,LB,,Active
12213,Anthony Sao,Anthony,Sao,CB,,Active
11616,Jacob Cowing,Jacob,Cowing,WR,SF,Active
5965,Miles Boykin,Miles,Boykin,WR,,Active
2125,Andrew Peacock,Andrew,Peacock,WR,,Inactive
11770,JD Bertrand,JD,Bertrand,LB,ATL,Active
13064,Dorian Singer,Dorian,Singer,WR,,Active
4992,Dante Pettis,Dante,Pettis,WR,BUF,Active
1590,Eric Reid,Eric,Reid,SS,,Active
4804,Darrell Brown,Darrell,Brown,OT,,Active
4529,Ryan Lewis,Ryan,Lewis,CB,,Inactive
12739,Tommy Akingbesote,Tommy,Akingbesote,DT,BUF,Active
13479,Kyle Louis,Kyle,Louis,LB,MIA,Active
13525,Beau Stephens,Beau,Stephens,G,SEA,Active
439,JJ Jansen,JJ,Jansen,LS,CAR,Active
6858,James Lynch,James,Lynch,DT,CHI,Active
1510,Jordan Mills,Jordan,Mills,T,,Active
12785,Dom Jones,Dom,Jones,DB,,Active
4925,Jordan Wade,Jordan,Wade,G,OAK,Active
3620,Bralon Addison,Bralon,Addison,WR,,Inactive
11155,Christian Sims,Christian,Sims,TE,,Active
12814,Josh Kaltenberger,Josh,Kaltenberger,OL,LAC,Active
1995,Telvin Smith,Telvin,Smith,LB,,Injured Reserve
10926,Marte Mapu,Marte,Mapu,DB,HOU,Active
9504,Kayshon Boutte,Kayshon,Boutte,WR,NE,Active
4828,Rashard Davis,Rashard,Davis,WR,,Active
1914,Dri Archer,Dri,Archer,RB,,Inactive
11525,Daniel Whelan,Daniel,Whelan,P,,Active
1711,Darren Woodard,Darren,Woodard,CB,,Inactive
4396,Drew Morgan,Drew,Morgan,WR,,Active
12633,Wyatt Milum,Wyatt,Milum,OL,JAX,Active
4038,John Ross,John,Ross,WR,,Active
1148,Kyle Wilber,Kyle,Wilber,LB,,Active
12507,Omarion Hampton,Omarion,Hampton,RB,LAC,Active
914,Leonard Hankerson,Leonard,Hankerson,WR,,Inactive
1649,Jordan Kovacs,Jordan,Kovacs,DB,,Inactive
12758,Hayden Harris,Hayden,Harris,DE,,Active
13786,Austin Brown,Austin,Brown,DB,IND,Active
11439,Jaleel McLaughlin,Jaleel,McLaughlin,RB,DEN,Active
11282,Johnny King,Johnny,King,WR,,Active
3730,Tevin Jones,Tevin,Jones,WR,,Active
7153,Kyle Hinton,Kyle,Hinton,G,ATL,Active
3414,Anthony Sarao,Anthony,Sarao,ILB,,Active
186,DeMarcus Ware,DeMarcus,Ware,DE,,Inactive
13558,Tim Keenan,Tim,Keenan,DT,LAR,Active
13302,Adam Randall,Adam,Randall,RB,BAL,Active
11450,Tyler Beach,Tyler,Beach,OL,,Active
11109,Mark Evans,Mark,Evans,OL,,Active
1150,Shea McClellin,Shea,McClellin,LB,,Inactive
1813,Randell Johnson,Randell,Johnson,LB,,Inactive
4788,Duplicate Player,Duplicate,Player,CB,,Inactive
8533,Josh Sokol,Josh,Sokol,C,,Active
2330,Shaq Thompson,Shaq,Thompson,LB,,Active
1609,Chris Pantale,Chris,Pantale,TE,,Inactive
5718,Ryan Yurachek,Ryan,Yurachek,TE,,Active
3916,David Watford,David,Watford,WR,,Active
12964,Michael Tarquin,Michael,Tarquin,OT,,Active
12452,Ralph Holley,Ralph,Holley,DT,,Active
6639,Terrell Bonds,Terrell,Bonds,CB,,Active
5530,Evan Berry,Evan,Berry,WR,,Active
11445,Taylor Grimes,Taylor,Grimes,WR,,Active
174,Jay Ratliff,Jay,Ratliff,NT,,Inactive
5619,Dalyn Dawkins,Dalyn,Dawkins,RB,,Active
5122,Boston Scott,Boston,Scott,RB,,Active
